group,gene,mean_scaled,fraction
Pericyte,NKG7,0.0,0.024015369836695485
Pericyte,GNLY,0.0020466565620154142,0.02612872238232469
Pericyte,CD79A,0.0,0.008069164265129682
Pericyte,MS4A1,0.0,0.005763688760806916
Pericyte,JCHAIN,0.08519462496042252,0.1792507204610951
Pericyte,MZB1,0.010674367658793926,0.03650336215177714
Pericyte,CD14,0.03878258913755417,0.07435158501440922
Pericyte,LYZ,0.25463518500328064,0.38789625360230545
Pericyte,FCGR3B,0.001452961703762412,0.011527377521613832
Pericyte,CSF3R,0.00014911302423570305,0.019980787704130643
Pericyte,TPSAB1,0.00760264927521348,0.023054755043227664
Pericyte,KIT,0.0007785436464473605,0.004610951008645533
Pericyte,EPCAM,0.13229525089263916,0.14658981748318925
Pericyte,KRT18,0.5386989712715149,0.6176753121998079
Pericyte,ALB,0.013618141412734985,0.03611911623439001
Pericyte,APOA1,0.018670756369829178,0.03112391930835735
Pericyte,PECAM1,0.0023636561818420887,0.038232468780019215
Pericyte,VWF,0.032263610512018204,0.039961575408261285
Pericyte,COL1A1,0.8891893625259399,0.8680115273775216
Pericyte,DCN,0.45541104674339294,0.5296829971181556
Pericyte,RGS5,1.0,0.9631123919308358
Pericyte,ACTA2,1.0,0.8901056676272815
