cell_type,rank,RES
Fibroblast,76,0.3497917011958131
Fibroblast,77,0.34977411413988624
Fibroblast,78,0.37775159340925385
Fibroblast,79,0.377734006353327
Fibroblast,80,0.37771641929740013
Fibroblast,81,0.37769883224147327
Fibroblast,82,0.3776812451855464
Fibroblast,83,0.40517546309021524
Fibroblast,84,0.4051578760342884
Fibroblast,85,0.4051402889783615
Fibroblast,86,0.40512270192243466
Fibroblast,87,0.4051051148665078
Fibroblast,88,0.40508752781058094
Fibroblast,89,0.4050699407546541
Fibroblast,90,0.431913881116494
Fibroblast,91,0.4318962940605671
Fibroblast,92,0.43187870700464026
Fibroblast,93,0.45809431272356244
Fibroblast,94,0.4580767256676356
Fibroblast,95,0.4580591386117087
Fibroblast,96,0.45804155155578186
Fibroblast,97,0.458023964499855
Fibroblast,98,0.45800637744392814
Fibroblast,99,0.4579887903880013
Fibroblast,100,0.4579712033320744
Fibroblast,101,0.45795361627614756
Fibroblast,102,0.4579360292202207
Fibroblast,103,0.45791844216429384
Fibroblast,104,0.457900855108367
Fibroblast,105,0.4578832680524401
Fibroblast,106,0.45786568099651326
Fibroblast,107,0.4829966185380207
Fibroblast,108,0.48297903148209387
Fibroblast,109,0.482961444426167
Fibroblast,110,0.48294385737024015
Fibroblast,111,0.4829262703143133
Fibroblast,112,0.48290868325838643
Fibroblast,113,0.48289109620245957
Fibroblast,114,0.4828735091465327
Fibroblast,115,0.48285592209060585
Fibroblast,116,0.482838335034679
Fibroblast,117,0.48282074797875213
Fibroblast,118,0.48280316092282527
Fibroblast,119,0.4827855738668984
Fibroblast,120,0.48276798681097155
Fibroblast,121,0.4827503997550447
Fibroblast,122,0.48273281269911783
Fibroblast,123,0.48271522564319097
Fibroblast,124,0.4826976385872641
Fibroblast,125,0.48268005153133725
Fibroblast,126,0.4826624644754104
Fibroblast,127,0.48264487741948353
Fibroblast,128,0.48262729036355667
Fibroblast,129,0.4826097033076298
Fibroblast,130,0.48259211625170295
Fibroblast,131,0.4825745291957761
Fibroblast,132,0.48255694213984923
Fibroblast,133,0.48253935508392237
Fibroblast,134,0.5059595999029065
Fibroblast,135,0.5059420128469797
Fibroblast,136,0.5059244257910529
Fibroblast,137,0.5059068387351261
Fibroblast,138,0.5058892516791993
Fibroblast,139,0.5058716646232725
Fibroblast,140,0.5058540775673457
Fibroblast,141,0.5058364905114189
Fibroblast,142,0.5058189034554921
Fibroblast,143,0.5058013163995653
Fibroblast,144,0.5057837293436385
Fibroblast,145,0.5057661422877117
Fibroblast,146,0.5057485552317849
Fibroblast,147,0.505730968175858
Fibroblast,148,0.5057133811199312
Fibroblast,149,0.5056957940640044
Fibroblast,150,0.5056782070080776
Fibroblast,151,0.5056606199521508
Fibroblast,152,0.505643032896224
Fibroblast,153,0.5056254458402972
Fibroblast,154,0.5056078587843704
Fibroblast,155,0.5055902717284436
Fibroblast,156,0.5055726846725168
Fibroblast,157,0.50555509761659
Fibroblast,158,0.5055375105606632
Fibroblast,159,0.5055199235047364
Fibroblast,160,0.5055023364488096
Fibroblast,161,0.5054847493928828
Fibroblast,162,0.505467162336956
Fibroblast,163,0.5054495752810292
Fibroblast,164,0.5054319882251024
Fibroblast,165,0.5054144011691756
Fibroblast,166,0.5053968141132488
Fibroblast,167,0.505379227057322
Fibroblast,168,0.5053616400013952
Fibroblast,169,0.5053440529454684
Fibroblast,170,0.5053264658895416
Fibroblast,171,0.5053088788336147
Fibroblast,172,0.505291291777688
Fibroblast,173,0.5052737047217611
Fibroblast,174,0.5052561176658343
Fibroblast,175,0.5052385306099075
