cell,phase,spec,formula,source,n_ref_cells,n_test_cells,n_genes_tested,n_samples,n_genes_fit,converged_C,converged_D,na_coefC,na_coefD,n_genes_returned,nfkb_nes,nfkb_nom_p,nfkb_fdr_q,nfkb_rank,n_sets,minutes,status
Plasma_cells,pre,T,Welch t-test,plasma_cell_integrated.h5ad,3713,2174,3279,8,,,,,,3279,-1.2008940343486234,0.2181208053691275,1.0,38,41,0.16,ok
Plasma_cells,pre,dep,~ condition + sample_id + cngeneson,plasma_cell_integrated.h5ad,3713,2174,3279,8,3279.0,3279.0,3279.0,0.0,0.0,3279,-1.0249732998172585,0.4642857142857143,0.8206686930091185,38,41,4.53,ok
TCD4_cells,post,A,~ condition + cngeneson,TCD4.h5ad,3528,2481,2869,11,2869.0,2869.0,2869.0,0.0,0.0,2869,0.7176397417406694,0.8364485981308412,1.0,14,39,7.57,ok
TCD4_cells,post,A0,~ condition,TCD4.h5ad,3528,2481,2869,11,2869.0,2869.0,2869.0,0.0,0.0,2869,0.9731413074691064,0.4711815561959654,0.7980361092556195,19,39,3.32,ok
TCD4_cells,post,B,~ condition + cngeneson + (1 | sample_id),TCD4.h5ad,3528,2481,2869,11,2869.0,2869.0,2869.0,0.0,0.0,2869,1.708106474714641,0.0,0.1126131158529773,1,39,27.33,ok
TCD4_cells,post,T,Welch t-test,TCD4.h5ad,3528,2481,2869,11,,,,,,2869,1.1690295765047647,0.2200956937799043,0.801828870019595,10,39,0.27,ok
TCD4_cells,post,dep,~ condition + sample_id + cngeneson,TCD4.h5ad,3528,2481,2869,11,2869.0,2869.0,2869.0,0.0,0.0,2869,-1.624871886150938,0.0,0.0,39,39,4.43,ok
TCD4_cells,pre,A,~ condition + cngeneson,TCD4.h5ad,1748,2940,3376,8,3376.0,3376.0,3376.0,0.0,0.0,3376,1.4619805579326737,0.0022727272727272,0.0846156256855432,1,41,8.28,ok
TCD4_cells,pre,A0,~ condition,TCD4.h5ad,1748,2940,3376,8,3376.0,3376.0,3376.0,0.0,0.0,3376,1.603650534511474,0.0048465266558966,0.0547136918331768,1,41,2.65,ok
TCD4_cells,pre,B,~ condition + cngeneson + (1 | sample_id),TCD4.h5ad,1748,2940,3376,8,3376.0,3375.0,3373.0,0.0,3.0,3373,-1.553887640843361,0.0016750418760469,0.0769198542041979,40,41,24.97,ok
TCD4_cells,pre,T,Welch t-test,TCD4.h5ad,1748,2940,3376,8,,,,,,3376,1.7489944064675536,0.0,0.0708671562942919,1,41,0.26,ok
TCD4_cells,pre,dep,~ condition + sample_id + cngeneson,TCD4.h5ad,1748,2940,3376,8,3376.0,3376.0,3376.0,0.0,0.0,3376,-1.7745436853479628,0.0,0.0,41,41,4.16,ok
TCD8_cells,post,A,~ condition + cngeneson,TCD8.h5ad,1534,1874,2165,11,2165.0,2165.0,2165.0,0.0,0.0,2165,-0.6918025742109919,0.9394495412844036,0.932500864290653,15,38,4.14,ok
TCD8_cells,post,A0,~ condition,TCD8.h5ad,1534,1874,2165,11,2165.0,2165.0,2165.0,0.0,0.0,2165,0.9265673848339344,0.596130592503023,1.0,15,38,2.25,ok
TCD8_cells,post,B,~ condition + cngeneson + (1 | sample_id),TCD8.h5ad,1534,1874,2165,11,2165.0,2165.0,2163.0,0.0,2.0,2163,1.1766149321128136,0.1638418079096045,0.3773864570075239,7,38,9.08,ok
TCD8_cells,post,T,Welch t-test,TCD8.h5ad,1534,1874,2165,11,,,,,,2165,1.125536646300778,0.2895299145299145,1.0,9,38,0.19,ok
TCD8_cells,post,dep,~ condition + sample_id + cngeneson,TCD8.h5ad,1534,1874,2165,11,2165.0,2165.0,2165.0,0.0,0.0,2165,-1.644682260838071,0.0,0.0,38,38,6.64,ok
TCD8_cells,pre,A,~ condition + cngeneson,TCD8.h5ad,1330,2050,2646,8,2646.0,2646.0,2646.0,0.0,0.0,2646,1.3850145973187522,0.0043243243243243,0.177710362446112,4,39,5.17,ok
TCD8_cells,pre,A0,~ condition,TCD8.h5ad,1330,2050,2646,8,2646.0,2646.0,2646.0,0.0,0.0,2646,1.5379225163248416,0.0040322580645161,0.1579443288445683,1,39,1.64,ok
TCD8_cells,pre,B,~ condition + cngeneson + (1 | sample_id),TCD8.h5ad,1330,2050,2646,8,2646.0,2646.0,2644.0,0.0,2.0,2644,0.9690325550938838,0.5275938189845475,0.8174779554089898,13,39,14.13,ok
TCD8_cells,pre,T,Welch t-test,TCD8.h5ad,1330,2050,2646,8,,,,,,2646,1.6928389282148293,0.0059970014992503,0.0155923770601039,1,39,0.19,ok
TCD8_cells,pre,dep,~ condition + sample_id + cngeneson,TCD8.h5ad,1330,2050,2646,8,2646.0,2646.0,2646.0,0.0,0.0,2646,-1.677134396084728,0.0,0.0014099069461415,39,39,5.98,ok
