cell,phase,spec_a,spec_b,n_genes,spearman_logFC,pearson_logFC,spearman_rankmetric,pct_same_sign_logFC
Pericyte,pre,A0,T,6445,0.7758772125181375,0.667035161852658,0.8228266145046442,99.89138867339022
Pericyte,pre,A,B,6439,0.8941448086492936,0.854618451222773,0.8871790783431407,86.08479577574157
Pericyte,pre,A,T,6445,0.7867924848270517,0.7017348929763421,0.7863001709300274,65.01163692785104
Pericyte,pre,B,T,6439,0.739172867938847,0.5718147860802671,0.7241202538789885,55.101723870166175
Pericyte,post,dep,A0,6403,0.42666081182757926,0.4716137879643122,0.39783838207899896,65.89098859909419
Pericyte,post,dep,A,6403,0.42633885779740716,0.49120581376711403,0.40479632990855063,64.68842729970326
Pericyte,post,dep,B,6393,0.3991203420007026,0.4388410080474924,0.3792538687041857,64.28906616611918
Pericyte,post,dep,T,6403,0.41679832534827854,0.38882423424305224,0.4069924671808733,65.9846946743714
Pericyte,post,A0,A,6403,0.9511534930783945,0.9733846292670205,0.9394706547674648,84.3979384663439
Pericyte,post,A0,B,6393,0.8740569459897437,0.8944908246389247,0.8713874526658457,81.77694353198811
Pericyte,post,A0,T,6403,0.9389467621548588,0.751915656166718,0.9586663492733588,99.78135249101983
Pericyte,post,A,B,6393,0.923180290792285,0.9210811372729404,0.9242213546237863,91.92867198498358
Pericyte,post,A,T,6403,0.9240617245019196,0.7779166885108542,0.9507072396037706,84.21052631578947
Pericyte,post,B,T,6393,0.8720123614558237,0.7385979386169156,0.89802825342791,81.62052244642578
Plasma_cells,pre,dep,A0,3279,0.34148875415534313,0.414202181278723,0.33572483349992566,60.079292467215616
Plasma_cells,pre,dep,A,3279,0.3107667399556535,0.4112626276610635,0.2938721304756651,62.03110704483073
Plasma_cells,pre,dep,B,3276,0.36945757379061905,0.3759621115300178,0.3312884171766467,67.64346764346764
Plasma_cells,pre,dep,T,3279,0.3287245256734762,0.3135719405021994,0.32946691221697233,60.079292467215616
Plasma_cells,pre,A0,A,3279,0.9290171691304767,0.9745092479108324,0.918663627839297,87.80115888990547
Plasma_cells,pre,A0,B,3276,0.5889475124316151,0.4745959780701284,0.5871892723799258,71.09279609279609
Plasma_cells,pre,A0,T,3279,0.9634329755674952,0.7448666421930423,0.9583819031883113,100.0
Plasma_cells,pre,A,B,3276,0.6548715540772602,0.5705925476937788,0.6649292004765615,79.09035409035408
Plasma_cells,pre,A,T,3279,0.9060922477294194,0.7616914612343999,0.9221269681492641,87.80115888990547
Plasma_cells,pre,B,T,3276,0.5978399597096645,0.44578690938760573,0.6242266555436997,71.09279609279609
Plasma_cells,post,dep,A0,2549,-0.11941878528880848,-0.23023877482950442,-0.12706633934619208,45.93958415064731
Plasma_cells,post,dep,A,2549,-0.2114722092476427,-0.27743642779310534,-0.2043948378156224,41.15339348764221
Plasma_cells,post,dep,B,2549,-0.08759192266700566,-0.16437173541724368,-0.038104429567946324,45.11573165947431
Plasma_cells,post,dep,T,2549,-0.11864005778887106,-0.14330275805695958,-0.11559683703882617,45.93958415064731
Plasma_cells,post,A0,A,2549,0.9661464440923185,0.9865657366805528,0.9436894835189108,90.66300510003923
Plasma_cells,post,A0,B,2549,0.8511566014582193,0.8998516369713923,0.8332924092170594,86.93605335425657
Plasma_cells,post,A0,T,2549,0.9592741329792516,0.7456413786356476,0.9797757195644653,100.0
Plasma_cells,post,A,B,2549,0.8855020713056325,0.9204507665039479,0.8776600022874227,85.28834837191054
Plasma_cells,post,A,T,2549,0.9268123711312958,0.7733838008311009,0.9480477175026695,90.66300510003923
Plasma_cells,post,B,T,2549,0.8116846223315989,0.6724313539263855,0.8429364396873817,86.93605335425657
TCD4_cells,pre,dep,A0,3376,-0.0016423830443621416,-0.013737885276671545,0.006338328876191348,51.62914691943128
TCD4_cells,pre,dep,A,3376,-0.03628618494249814,-0.06351828548315064,-0.037044097081037855,49.5260663507109
TCD4_cells,pre,dep,B,3373,0.40972351837244947,0.4950029901815376,0.3791182047765553,64.24547880225319
TCD4_cells,pre,dep,T,3376,-0.02357963817747383,-0.03185119426405758,-0.015364027460928525,51.62914691943128
TCD4_cells,pre,A0,A,3376,0.9738502670311183,0.9753780380890201,0.9683258626370534,91.32109004739335
TCD4_cells,pre,A0,B,3373,0.43858571297029714,0.34609118929330157,0.48901454344974493,68.72220575155647
TCD4_cells,pre,A0,T,3376,0.9448413873049777,0.8657652050592395,0.9827360203763558,100.0
TCD4_cells,pre,A,B,3373,0.435908310734907,0.34071406652912006,0.47760467472708407,69.75985769344797
TCD4_cells,pre,A,T,3376,0.9610738516585963,0.8626498974398316,0.9839591715041643,91.32109004739335
TCD4_cells,pre,B,T,3373,0.4743732157826477,0.331975589624357,0.504740313889019,68.72220575155647
