CellType,Pathway,NES,NOM_pval,FDR_qval
CD8+ T,Pancreas Beta Cells,-0.9540092760739919,0.4883720930232558,0.7225918426381255
CD8+ T,Reactive Oxygen Species Pathway,0.9158593813077122,0.6379781420765027,0.8006679419618535
CD8+ T,Fatty Acid Metabolism,0.914513503974649,0.6715741789354474,0.7834503920007332
CD8+ T,Myc Targets V2,0.908256965247328,0.6317780580075663,0.7787842918813536
CD8+ T,DNA Repair,0.9080886202488498,0.6862967157417894,0.7601541103838835
CD8+ T,heme Metabolism,0.8932389584965686,0.732749178532311,0.7732961540927007
CD8+ T,Xenobiotic Metabolism,0.8594650993127804,0.7853231106243155,0.8228216363379245
CD8+ T,Cholesterol Homeostasis,0.8484170823936337,0.7417380660954712,0.824939972064328
CD8+ T,Bile Acid Metabolism,-0.8157771780079744,0.9882352941176471,0.9243563783627423
CD8+ T,PI3K/AKT/mTOR  Signaling,0.7535947638837395,0.9085648148148148,0.9505010650533559
CD8+ T,Pperoxisome,0.6457487522439304,1.0,0.9973309195562363
DC,Oxidative Phosphorylation,-1.623782957354557,0.0,0.0014011489421325487
DC,TNF-alpha Signaling via NF-kB,1.5224400492312493,0.0,0.07272049226179378
DC,E2F Targets,-1.4821313305878492,0.0,0.04168418102844332
DC,Epithelial Mesenchymal Transition,1.404564292702572,0.009324009324009324,0.2796942010068991
DC,UV Response Dn,1.335636400767945,0.01485148514851485,0.39716576542979676
DC,DNA Repair,-1.3257459857274487,0.021164021164021163,0.28653495866610623
DC,Myc Targets V1,-1.3042877601190805,0.03350083752093802,0.2670940170940171
DC,Inflammatory Response,1.2945786438092488,0.02830188679245283,0.42233824352041766
DC,KRAS Signaling Dn,1.268716645292276,0.044226044226044224,0.41814283050531426
DC,Pperoxisome,-1.2128344283668717,0.13696060037523453,0.46994535519125685
DC,UV Response Up,1.172822224591768,0.12669683257918551,0.7234756666045123
DC,Myc Targets V2,-1.169698372637522,0.2191780821917808,0.5397926299565644
DC,Interferon Alpha Response,-1.1541260787305083,0.1996527777777778,0.5125202666186274
DC,Complement,1.1430141107824947,0.12530712530712532,0.761367571455209
DC,KRAS Signaling Up,1.1158757342670576,0.17777777777777778,0.8011490770091366
DC,Angiogenesis,1.1147959594141652,0.3212669683257919,0.7191248679221829
DC,Myogenesis,1.1139902430474569,0.1811926605504587,0.6508484057430542
DC,G2-M Checkpoint,-1.087444955320219,0.24691358024691357,0.685687263556116
DC,Spermatogenesis,-1.047828436409203,0.3408304498269896,0.7640932231096166
DC,IL-2/STAT5 Signaling,1.0462349694218944,0.30935251798561153,0.8976912515044159
DC,Bile Acid Metabolism,-1.0302006310346534,0.3758620689655172,0.7564102564102564
DC,Apical Surface,0.9864420442063603,0.4608879492600423,1.0
DC,Hypoxia,0.9801253368084967,0.46808510638297873,1.0
DC,Cholesterol Homeostasis,-0.9796363042585086,0.4874551971326165,0.8813863731896519
DC,Hedgehog Signaling,0.978759251133511,0.4946004319654428,1.0
DC,Apical Junction,0.9782438049516385,0.46055979643765904,0.9549692336378892
DC,Mitotic Spindle,0.9775901109705487,0.4938875305623472,0.8980805985455902
DC,Estrogen Response Late,0.9739239682181753,0.5098522167487685,0.8598128790953263
DC,TGF-beta Signaling,0.9690503439719167,0.5,0.8337994903350116
DC,Estrogen Response Early,0.9594514828333384,0.5533980582524272,0.8284836648772781
DC,Xenobiotic Metabolism,-0.9495606064458753,0.5535117056856187,0.9269767876325254
DC,Wnt-beta Catenin Signaling,0.9446382596302645,0.5269058295964125,0.8472636584001492
DC,Apoptosis,0.9340261870719451,0.5835189309576837,0.848205961482113
DC,Allograft Rejection,-0.9056831274511327,0.6895973154362416,1.0
DC,mTORC1 Signaling,-0.8960198490562294,0.7179054054054054,0.9869593066314378
DC,IL-6/JAK/STAT3 Signaling,0.8944201357337948,0.648960739030023,0.9715559473157833
DC,Coagulation,0.8868147753669747,0.7313084112149533,0.960688777371523
DC,Interferon Gamma Response,0.8608118675943888,0.8683035714285714,1.0
DC,Protein Secretion,0.8573167943397337,0.7821100917431193,0.9987320529554353
DC,Fatty Acid Metabolism,-0.8322348460826373,0.8705882352941177,1.0
DC,Pancreas Beta Cells,0.8314005739867198,0.6973684210526315,1.0
DC,p53 Pathway,0.829807604245179,0.9827586206896551,1.0
DC,Adipogenesis,0.8098196293000646,0.9952941176470588,1.0
