x,y,cell_type
0.45276,19.75016,B cells
2.2265,18.81233,B cells
1.71685,21.00856,B cells
2.62594,18.57147,B cells
1.984,18.55046,B cells
2.74884,19.86769,B cells
2.26771,18.36926,B cells
2.79009,19.11095,B cells
1.5467,19.28212,B cells
-1.21252,18.19166,B cells
1.016,18.7735,B cells
0.15249,17.97783,B cells
1.38706,18.36267,B cells
1.66801,20.09326,B cells
2.80246,20.67973,B cells
1.65171,18.81701,B cells
1.38538,19.01625,B cells
2.07938,21.39861,B cells
1.06099,18.83362,B cells
2.73371,20.03729,B cells
1.7338,21.18801,B cells
-0.10876,18.39984,B cells
3.27924,19.35896,B cells
-0.4546,18.51444,B cells
2.23962,19.41752,B cells
1.87185,20.12867,B cells
1.64323,18.62984,B cells
1.84809,17.87084,B cells
1.21799,18.32593,B cells
2.25013,18.90109,B cells
1.89917,19.30996,B cells
2.62425,20.78839,B cells
0.58108,17.36661,B cells
1.34128,19.10094,B cells
2.42089,21.28777,B cells
1.62734,19.48877,B cells
1.62723,21.08689,B cells
2.76178,18.27984,B cells
2.1182,17.9673,B cells
2.44522,19.53564,B cells
2.61645,20.71627,B cells
1.02458,19.5203,B cells
1.52707,20.17313,B cells
2.1786,17.80093,B cells
1.88161,21.04877,B cells
1.88725,19.76224,B cells
2.07027,19.27506,B cells
1.30318,18.9685,B cells
1.23187,18.51616,B cells
3.87464,19.38442,B cells
3.10406,18.53937,B cells
-0.0211,18.46646,B cells
0.24634,18.98869,B cells
1.50326,18.2477,B cells
1.83754,18.53659,B cells
1.85443,20.42653,B cells
1.80557,19.13649,B cells
3.08001,19.07954,B cells
2.34452,19.52907,B cells
2.85505,19.34986,B cells
0.53968,20.60083,B cells
2.08623,20.18047,B cells
3.34964,19.88697,B cells
0.16253,20.46134,B cells
2.50182,19.20709,B cells
1.86524,18.92002,B cells
2.51452,20.7234,B cells
1.83111,20.00028,B cells
1.8043,18.69718,B cells
3.26126,18.73444,B cells
2.97807,19.64377,B cells
1.62528,18.86124,B cells
0.5419,19.11177,B cells
0.99711,17.11079,B cells
3.14087,20.03601,B cells
2.68824,19.27692,B cells
3.12274,21.35248,B cells
3.13307,19.43664,B cells
0.90647,18.57319,B cells
1.33544,18.83913,B cells
1.25658,19.39692,B cells
1.59242,18.92113,B cells
1.24849,18.45468,B cells
1.1924,18.20831,B cells
3.10703,18.47686,B cells
0.65038,18.77131,B cells
1.61116,18.1564,B cells
2.61264,18.50904,B cells
0.76926,18.46486,B cells
1.40762,18.4621,B cells
2.74991,20.9571,B cells
1.09063,18.75558,B cells
3.48627,20.17795,B cells
1.29343,18.8914,B cells
1.20868,17.91909,B cells
1.10508,19.02281,B cells
1.57908,18.81269,B cells
3.38093,18.32865,B cells
2.12384,19.06406,B cells
2.02495,19.31782,B cells
2.68208,19.5778,B cells
3.43609,19.85687,B cells
1.97039,20.29905,B cells
1.61485,18.3351,B cells
2.27658,18.65821,B cells
1.76102,19.37544,B cells
1.21661,18.91652,B cells
2.12524,20.85367,B cells
1.7625,17.62488,B cells
1.65996,21.21155,B cells
0.9963,18.61284,B cells
3.52452,18.89135,B cells
2.43066,17.96231,B cells
3.38681,18.99625,B cells
2.59471,19.79429,B cells
2.04732,18.42968,B cells
0.78668,19.30902,B cells
2.4362,19.5534,B cells
