order,sample,cell_type,proportion
33,P35-LN1_1,B cells,0.25509495136637333
33,P35-LN1_1,Dendritic cells,0.00856878184344604
33,P35-LN1_1,Endothelial cells,0.0009263547938860583
33,P35-LN1_1,Epithelial cells,0.0030106530801296896
33,P35-LN1_1,Fibroblasts,0.0
33,P35-LN1_1,Hepatocytes,0.0
33,P35-LN1_1,Mast cells,0.0006947660954145438
33,P35-LN1_1,Monocytes/Macrophages,0.0020842982862436313
33,P35-LN1_1,Neutrophils,0.0012737378415933302
33,P35-LN1_1,Pericytes,0.0
33,P35-LN1_1,Plasma cells,0.007874015748031496
33,P35-LN1_1,T/NK cells,0.7204724409448819
34,P29-LN1,B cells,0.48482362592288764
34,P29-LN1,Dendritic cells,0.006015859994531037
34,P29-LN1,Endothelial cells,0.0010937927262783702
34,P29-LN1,Epithelial cells,0.008203445447087777
34,P29-LN1,Fibroblasts,0.0
34,P29-LN1,Hepatocytes,0.0
34,P29-LN1,Mast cells,0.0010937927262783702
34,P29-LN1,Monocytes/Macrophages,0.008750341810226962
34,P29-LN1,Neutrophils,0.0013672409078479629
34,P29-LN1,Pericytes,0.0
34,P29-LN1,Plasma cells,0.016406890894175553
34,P29-LN1,T/NK cells,0.4722450095706864
35,P30-LN1_1,B cells,0.4622665320545179
35,P30-LN1_1,Dendritic cells,0.00441696113074205
35,P30-LN1_1,Endothelial cells,0.004921756688541141
35,P30-LN1_1,Epithelial cells,0.003407370015143867
35,P30-LN1_1,Fibroblasts,0.0
35,P30-LN1_1,Hepatocytes,0.0
35,P30-LN1_1,Mast cells,0.0013881877839475012
35,P30-LN1_1,Monocytes/Macrophages,0.002523977788995457
35,P30-LN1_1,Neutrophils,0.0
35,P30-LN1_1,Pericytes,0.0
35,P30-LN1_1,Plasma cells,0.02713276123170116
35,P30-LN1_1,T/NK cells,0.4939424533064109
36,P31-LN1_1,B cells,0.34203606311044327
36,P31-LN1_1,Dendritic cells,0.0033809166040570998
36,P31-LN1_1,Endothelial cells,0.0007513148009015778
36,P31-LN1_1,Epithelial cells,0.008264462809917356
36,P31-LN1_1,Fibroblasts,0.0
36,P31-LN1_1,Hepatocytes,0.0
36,P31-LN1_1,Mast cells,0.0011269722013523666
36,P31-LN1_1,Monocytes/Macrophages,0.002441773102930128
36,P31-LN1_1,Neutrophils,0.0
36,P31-LN1_1,Pericytes,0.0
36,P31-LN1_1,Plasma cells,0.004320060105184072
